country,value,ns
Afghanistan,34.414566210045656,north
Albania,46.97077625570778,north
Algeria,40.709589041095875,north
Angola,35.584931506849315,south
Antigua and Barbuda,46.683105022831036,north
Argentina,48.66347031963469,south
Armenia,45.77625570776253,north
Australia,54.43196347031962,south
Austria,50.76164383561645,north
Azerbaijan,41.447031963470316,north
Bahamas,46.88356164383562,north
Bahrain,41.976255707762554,north
Bangladesh,34.90136986301372,north
Barbados,46.2552511415525,north
Belarus,47.786757990867585,north
Belgium,54.726027397260275,north
Belize,41.62831050228309,north
Benin,37.99223744292238,north
Bhutan,38.72831050228309,north
Bolivia,41.603652968036535,south
Bosnia and Herzegovina,46.20913242009127,north
Botswana,40.924200913241975,south
Brazil,43.36940639269407,south
Brunei,44.19771689497718,north
Bulgaria,50.322831050228274,north
Burkina Faso,35.63744292237444,north
Burundi,36.312785388127836,south
Cambodia,40.627853881278554,north
Cameroon,36.988995433789945,north
Canada,56.0365296803653,north
Cape Verde,44.099086757990854,north
Central African Republic,35.60456621004566,north
Chad,38.019178082191786,north
Chile,45.02922374429224,south
China,41.436073059360716,north
Colombia,44.515981735159826,north
Comoros,39.881735159817346,south
"Congo, Dem. Rep.",38.78255707762557,south
"Congo, Rep.",38.32968036529681,south
Costa Rica,46.29726027397261,north
Cote d'Ivoire,38.175342465753445,north
Croatia,47.90045662100453,north
Cuba,48.100913242009135,north
Cyprus,51.5178082191781,north
Czech Republic,50.47716894977171,north
Denmark,57.53105022831049,north
Djibouti,40.10547945205482,north
Dominican Republic,42.537442922374446,north
Ecuador,44.59497716894978,south
Egypt,41.27625570776258,north
El Salvador,40.57762557077626,north
Equatorial Guinea,36.37397260273973,north
Eritrea,37.230593607305956,north
Estonia,50.91598173515978,north
Ethiopia,34.62219178082195,north
Fiji,39.36059360730593,south
Finland,52.138401826484014,north
France,54.02968036529683,north
Gabon,38.815068493150676,south
Gambia,39.55159817351597,north
Georgia,44.41643835616441,north
Germany,53.09863013698632,north
Ghana,38.272968036529676,north
Greece,51.345205479452034,north
Grenada,47.41324200913241,north
Guatemala,36.55972602739725,north
Guinea,37.325114155251136,north
